Prénoms,Numéros de téléphone,Réponses,Noms
Bastien,0612345678,4/18,Righi
Brandon,0656780612,12/18,Righi
Benjamin,0690127806,17/20,Jasse
Nicolas,0494568642,8/9,Righi
Dorian,0678903456,12/19,Jasse
Caroline,0494568642,8/12,Berlioz
Anthony,0676544321,11/19,Berlioz
Florent,0434560690,18/19,Colombier
Jean-Marc,0643219401,13/18,Colombier
Jeremy,0610901289,15/20,Jasse
Rémi,0680737812,20/20,Berlioz
Xavier,0683537812,17/20,Jasse
Barbara,0682631287,7/9,Righi
Fabien,0663736826,11/13,Berlioz
Cedric,0667836312,11/13,Colombier
Sébastien,0611896312,15/19,Righi
Valentin,0688634356,7/9,Jasse
Martinien,0649531265,8/9,Berlioz
Alexander,0680639531,17/20,Berlioz
Thomas,0680138353,14/15,Colombier
